,birth_SP,Brasil,Rondônia,Acre,Amazonas,Roraima,Pará,Amapá,Tocantins,Maranhão,Piauí,Ceará,Rio Grande do Norte,Paraíba,Pernambuco,Alagoas,Sergipe,Bahia,Minas Gerais,Espírito Santo,Rio de Janeiro,São Paulo,Paraná,Santa Catarina,Rio Grande do Sul,Mato Grosso do Sul,Mato Grosso,Goiás,Distrito Federal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1070,8853,104,97,388,43,608,75,104,616,190,486,176,244,460,303,144,947,577,152,593,1070,353,156,266,171,176,234,120
15,31691,201857,2277,1687,7195,1012,12924,1524,2166,11995,4196,9398,3496,4626,10528,5264,2826,16640,15792,3554,14452,31691,9554,5085,7763,3438,4078,5647,3049
20,65453,345734,3701,1977,9944,1581,18988,2062,3272,15928,6329,16119,5680,7272,16837,6977,4140,23878,29303,6218,25755,65453,17971,11275,15082,5616,7479,10982,5915
25,70688,335131,3447,1704,7414,1321,14605,1643,2847,12664,5691,15311,5583,6933,15207,5495,3632,22186,30944,6550,24522,70688,19134,12328,16043,5170,7027,10828,6214
30,69655,295965,2498,1255,5712,910,9559,1245,2194,8806,4606,12726,4984,5985,12300,4332,3175,20147,29385,6299,21728,69655,16741,10991,15778,4187,5589,8891,6287
35,45092,177131,1195,751,3201,486,4537,665,1125,4010,2306,6842,2700,3262,6817,2101,1895,11807,18468,3844,14371,45092,9774,6682,10557,2446,2996,4758,4443
40,10834,42099,239,180,830,121,1097,173,247,889,553,1770,627,793,1613,523,475,2899,4348,847,3482,10834,2233,1481,2545,527,665,1027,1081
45,634,2437,9,21,76,5,82,20,14,76,28,101,32,42,77,37,27,184,222,37,192,634,101,72,142,23,59,50,74
50,31,226,1,0,9,1,11,0,1,14,4,13,2,11,15,0,4,14,16,2,14,31,12,5,14,1,20,7,4
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
