agefloor,mort_2018,m_rate,life_exp
0,1445,"0,0131061599","76,3"
5,118,"0,0138121547","72,4"
10,143,"0,01481481481","67,5"
15,485,"0,01597444089","62,6"
20,702,"0,01727115717","57,9"
25,726,"0,01876172608","53,3"
30,816,"0,0205338809","48,7"
35,989,"0,02267573696","44,1"
40,1315,"0,0253164557","39,5"
45,1874,"0,02857142857",35
50,2648,"0,0325732899","30,7"
55,3667,"0,03773584906","26,5"
60,5016,"0,04424778761","22,6"
65,6968,"0,05319148936","18,8"
70,9617,"0,06535947712","15,3"
75,12497,"0,08130081301","12,3"
80,50974,"0,1041666667","9,6"
85,50974,"0,1041666667","9,6"
90,50974,"0,1041666667",
