faixas,2.5%,20%,50%,80%,97.5%
0 a 9,3.3551935847439758,7.42737759198831,11.190807293970717,15.22484753338797,20.64744727845264
10 a 19,3.3553333368933447,7.411148428884654,11.177019336889867,15.186370012876242,20.624910209438575
20 a 29,3.3277072986315828,7.322805820135285,11.049749107315371,15.027820198462322,20.39306728053341
30 a 39,3.362602562350782,7.442943013718994,11.21424451016792,15.246342749115101,20.62701087492072
40 a 49,3.3758425614668113,7.41629034037115,11.182195925097677,15.174552923990204,20.51277836271598
50 a 59,3.3934101162575763,7.44842685390368,11.240326366294767,15.22867968469584,20.6192251261339
60 a 69,3.36607741792616,7.403221530413723,11.17138092046999,15.171653250035877,20.516441316535715
70 a 79,3.467324457010831,7.594866749962996,11.449843029291136,15.530597115101862,20.996309333718443
80 a 100,3.3862640695528023,7.454743701251754,11.22779890913094,15.262302584000677,20.662349526427175
