faixas,Estimate,Est.Error,Q2.5,Q97.5
0 a 9,0.42963428546984617,0.7895961446150199,0.04047855130128555,0.8870967216161703
10 a 19,0.813859444196012,0.7658616312242851,0.34794586397615374,0.9831635330457773
20 a 29,0.5837454315354221,0.7413835126859444,0.14032603234867022,0.9172390551278058
30 a 39,0.30125376835782486,0.6207795283018618,0.13676609074329882,0.51883122393347
40 a 49,0.3989275643213713,0.6132754483176952,0.20427386780330506,0.6208281842624039
50 a 59,0.5427367166847751,0.609596779695955,0.3337861554750991,0.7382675830065777
60 a 69,0.7739721866689667,0.5854589778990006,0.6425159112841254,0.8734225124716118
70 a 79,0.8363866672361038,0.5854270107598915,0.7311674967469233,0.9135977935477136
80 a 100,0.9471277001191082,0.6429739073497095,0.8671159445624669,0.9847697418762535
