"","weighted_npi","R_perc","R_noperc"
"1",0.01,6.24952690470357,6.25822033758706
"2",0.02,6.20231501330595,6.21192425962887
"3",0.03,6.15501296673171,6.16563377840696
"4",0.04,6.10761102037726,6.11934899893643
"5",0.05,6.06009845483661,6.07307002881348
"6",0.06,6.01246348692139,6.02679697829364
"7",0.07,5.96469317434652,5.9805299603726
"8",0.08,5.91677331404951,5.93426909087019
"9",0.09,5.86868833423434,5.88801448851717
"10",0.1,5.82042118038664,5.84176627504535
"11",0.11,5.77195319570596,5.79552457528098
"12",0.12,5.72326399664731,5.74928951724154
"13",0.13,5.67433134457088,5.7030612322362
"14",0.14,5.62513101486816,5.65683985496995
"15",0.15,5.57563666538186,5.61062552365167
"16",0.16,5.52581970646789,5.56441838010633
"17",0.17,5.47564917567524,5.51821856989138
"18",0.18,5.42509162074699,5.47202624241766
"19",0.19,5.37411099548096,5.42584155107478
"20",0.2,5.32266857393073,5.37966465336167
"21",0.21,5.27072288947523,5.33349571102187
"22",0.22,5.21822970642205,5.28733489018433
"23",0.23,5.1651420330157,5.24118236150964
"24",0.24,5.11141018595804,5.19503830034212
"25",0.25,5.0569819177609,5.14890288686802
"26",0.26,5.00180261936081,5.10277630627982
"27",0.27,4.94581561133642,5.05665874894744
"28",0.28,4.88896253764646,5.01055041059632
"29",0.29,4.8311838758959,4.96445149249275
"30",0.3,4.77241957755313,4.91836220163671
"31",0.31,4.71260985007311,4.87228275096296
"32",0.32,4.65169609031076,4.82621335955041
"33",0.33,4.58962197471792,4.78015425284001
"34",0.34,4.52633470641711,4.73410566286233
"35",0.35,4.46178641220903,4.68806782847448
"36",0.36,4.39593567386779,4.64204099560723
"37",0.37,4.32874916782521,4.59602541752291
"38",0.38,4.26020337584843,4.55002135508441
"39",0.39,4.19028631710331,4.50402907703602
"40",0.4,4.1189992398564,4.45804886029664
"41",0.41,4.04635820002311,4.41208099026595
"42",0.42,3.97239544505607,4.36612576114442
"43",0.43,3.89716051662687,4.32018347626758
"44",0.44,3.8207209855154,4.27425444845565
"45",0.45,3.74316273820725,4.22833900037909
"46",0.46,3.66458974763548,4.18243746494105
"47",0.47,3.5851232804131,4.13655018567758
"48",0.48,3.50490051915895,4.09067751717679
"49",0.49,3.42407260967114,4.0448198255176
"50",0.5,3.34280217652037,3.99897748872964
"51",0.51,3.26126038429747,3.9531508972752
"52",0.52,3.17962365213001,3.90734045455461
"53",0.53,3.09807015316261,3.86154657743639
"54",0.54,3.01677624595236,3.81576969681364
"55",0.55,2.93591298952885,3.7700102581882
"56",0.56,2.85564288768826,3.72426872228423
"57",0.57,2.77611699161786,3.67854556569306
"58",0.58,2.69747246496371,3.63284128155121
"59",0.59,2.61983068456882,3.58715638025356
"60",0.6,2.54329591638148,3.54149139020399
"61",0.61,2.4679545725611,3.49584685860575
"62",0.62,2.39387502533764,3.45022335229437
"63",0.63,2.32110792783479,3.40462145861547
"64",0.64,2.2496869731718,3.35904178635096
"65",0.65,2.17963001122968,3.31348496669636
"66",0.66,2.11094043728217,3.26795165429318
"67",0.67,2.04360876746343,3.22244252831978
"68",0.68,1.97761432161257,3.17695829364509
"69",0.69,1.91292694307185,3.13149968204954
"70",0.7,1.84950869619481,3.086067453518
"71",0.71,1.78731549444855,3.04066239761014
"72",0.72,1.72629862408939,2.99528533491383
"73",0.73,1.66640613971837,2.94993711858812
"74",0.74,1.60758411809671,2.90461863600237
"75",0.75,1.54977776515647,2.85933081047932
"76",0.76,1.49293237809692,2.81407460315024
"77",0.77,1.43699416986637,2.76885101493144
"78",0.78,1.38191096734611,2.72366108863188
"79",0.79,1.32763279738,2.67850591120317
"80",0.8,1.27411237666743,2.63338661614398
"81",0.81,1.22130552269252,2.58830438607262
"82",0.82,1.16917150352321,2.54326045548238
"83",0.83,1.11767334468206,2.49825611369655
"84",0.84,1.06677811153179,2.4532927080415
"85",0.85,1.01645718586336,2.40837164725855
"86",0.86,0.966686555694481,2.36349440517739
"87",0.87,0.917447137680837,2.31866252467731
"88",0.88,0.868725151898385,2.27387762196479
"89",0.89,0.820512568785634,2.22914139120026
"90",0.9,0.772807647197265,2.18445560951065
"91",0.91,0.725615579896746,2.1398221424293
"92",0.92,0.678949257004657,2.09524294981017
"93",0.93,0.632830147023372,2.05072009226976
"94",0.94,0.587289277020649,2.00625573821753
"95",0.95,0.542368267385113,1.96185217154423
"96",0.96,0.498120345499873,1.91751180004761
"97",0.97,0.454611240879161,1.87323716468685
"98",0.98,0.411919888984106,1.82903094977075
"99",0.99,0.370139020370086,1.78489599420133
"100",1,0.329376125548612,1.74083530391383
